order_id,customer_id,outlet_id,order_placed,order_confirmed,prep_started,prep_finished,served_time,status,num_items,total_price_lkr,payment_method,item_id,quantity,price_lkr_x,name_x,contact_no,gender,age,join_date,loyalty_group,estimated_total_spent_lkr,name_y,borough,capacity,opened,name,category,price_lkr_y,is_vegetarian,spice_level
O1001,C035,OUT01,2025-01-01T13:06:44,2025-01-01T13:08:21,2025-01-01T13:10:18,2025-01-01T13:21:18,2025-01-01T13:31:18,Completed,2,2519,Card,M027,1,680,Customer_35,77728339,M,26,2023-05-08,Occasional,3832,Ocean View - Galle,Galle,80,2019-05-10,Dish 27 (Starter),Starter,680,True,Hot
O1001,C035,OUT01,2025-01-01T13:06:44,2025-01-01T13:08:21,2025-01-01T13:10:18,2025-01-01T13:21:18,2025-01-01T13:31:18,Completed,2,2519,Card,M012,1,1760,Customer_35,77728339,M,26,2023-05-08,Occasional,3832,Ocean View - Galle,Galle,80,2019-05-10,Dish 12 (Beverage),Beverage,1760,True,Mild
O1002,C071,OUT01,2025-01-01T19:00:54,2025-01-01T19:03:01,2025-01-01T19:04:33,2025-01-01T19:15:33,2025-01-01T19:22:33,Completed,3,2008,Card,M011,1,430,Customer_71,79580255,M,40,2023-03-23,Occasional,5120,Ocean View - Galle,Galle,80,2019-05-10,Dish 11 (Beverage),Beverage,430,True,Mild
O1002,C071,OUT01,2025-01-01T19:00:54,2025-01-01T19:03:01,2025-01-01T19:04:33,2025-01-01T19:15:33,2025-01-01T19:22:33,Completed,3,2008,Card,M030,1,470,Customer_71,79580255,M,40,2023-03-23,Occasional,5120,Ocean View - Galle,Galle,80,2019-05-10,Dish 30 (Beverage),Beverage,470,True,Mild
O1002,C071,OUT01,2025-01-01T19:00:54,2025-01-01T19:03:01,2025-01-01T19:04:33,2025-01-01T19:15:33,2025-01-01T19:22:33,Completed,3,2008,Card,M025,1,1040,Customer_71,79580255,M,40,2023-03-23,Occasional,5120,Ocean View - Galle,Galle,80,2019-05-10,Dish 25 (Fast Food),Fast Food,1040,True,Mild
O1003,C099,OUT01,2025-01-01T16:11:46,2025-01-01T16:14:19,2025-01-01T16:16:12,2025-01-01T16:32:12,2025-01-01T16:42:12,Completed,2,3112,Card,M010,1,1390,Customer_99,76009888,F,70,2022-01-07,Regular,8118,Ocean View - Galle,Galle,80,2019-05-10,Dish 10 (Fast Food),Fast Food,1390,False,Medium
O1003,C099,OUT01,2025-01-01T16:11:46,2025-01-01T16:14:19,2025-01-01T16:16:12,2025-01-01T16:32:12,2025-01-01T16:42:12,Completed,2,3112,Card,M008,1,1610,Customer_99,76009888,F,70,2022-01-07,Regular,8118,Ocean View - Galle,Galle,80,2019-05-10,Dish 8 (Fast Food),Fast Food,1610,False,Mild
O1004,C088,OUT01,2025-01-01T19:20:54,2025-01-01T19:22:16,2025-01-01T19:22:57,2025-01-01T19:38:57,2025-01-01T19:46:57,Completed,2,2033,Card,M010,1,1390,Customer_88,79689889,F,19,2024-04-03,Regular,11171,Ocean View - Galle,Galle,80,2019-05-10,Dish 10 (Fast Food),Fast Food,1390,False,Medium
O1004,C088,OUT01,2025-01-01T19:20:54,2025-01-01T19:22:16,2025-01-01T19:22:57,2025-01-01T19:38:57,2025-01-01T19:46:57,Completed,2,2033,Card,M022,1,600,Customer_88,79689889,F,19,2024-04-03,Regular,11171,Ocean View - Galle,Galle,80,2019-05-10,Dish 22 (Beverage),Beverage,600,True,Medium
O1005,C081,OUT01,2025-01-01T12:31:54,2025-01-01T12:33:37,2025-01-01T12:34:30,2025-01-01T12:57:30,2025-01-01T13:01:30,Completed,1,1431,Card,M026,1,1500,Customer_81,73846949,Other,21,2022-08-07,Occasional,6462,Ocean View - Galle,Galle,80,2019-05-10,Dish 26 (Dessert),Dessert,1500,False,Medium
O1006,C029,OUT01,2025-01-01T19:35:00,2025-01-01T19:37:32,2025-01-01T19:38:26,2025-01-01T19:48:26,2025-01-01T19:52:26,Completed,3,2431,Card,M007,1,480,Customer_29,72651177,M,41,2023-11-01,Regular,8768,Ocean View - Galle,Galle,80,2019-05-10,Dish 7 (Starter),Starter,480,True,Hot
O1006,C029,OUT01,2025-01-01T19:35:00,2025-01-01T19:37:32,2025-01-01T19:38:26,2025-01-01T19:48:26,2025-01-01T19:52:26,Completed,3,2431,Card,M029,1,1230,Customer_29,72651177,M,41,2023-11-01,Regular,8768,Ocean View - Galle,Galle,80,2019-05-10,Dish 29 (Main Course),Main Course,1230,False,Medium
O1006,C029,OUT01,2025-01-01T19:35:00,2025-01-01T19:37:32,2025-01-01T19:38:26,2025-01-01T19:48:26,2025-01-01T19:52:26,Completed,3,2431,Card,M023,1,810,Customer_29,72651177,M,41,2023-11-01,Regular,8768,Ocean View - Galle,Galle,80,2019-05-10,Dish 23 (Beverage),Beverage,810,True,Hot
O1007,C027,OUT01,2025-01-01T20:45:31,2025-01-01T20:47:45,2025-01-01T20:48:17,2025-01-01T20:58:17,2025-01-01T21:03:17,Completed,2,1737,Card,M011,1,430,Customer_27,72582524,M,58,2024-04-06,Occasional,3801,Ocean View - Galle,Galle,80,2019-05-10,Dish 11 (Beverage),Beverage,430,True,Mild
O1007,C027,OUT01,2025-01-01T20:45:31,2025-01-01T20:47:45,2025-01-01T20:48:17,2025-01-01T20:58:17,2025-01-01T21:03:17,Completed,2,1737,Card,M021,1,1260,Customer_27,72582524,M,58,2024-04-06,Occasional,3801,Ocean View - Galle,Galle,80,2019-05-10,Dish 21 (Beverage),Beverage,1260,False,Hot
O1008,C083,OUT01,2025-01-01T20:35:33,2025-01-01T20:37:21,2025-01-01T20:38:45,2025-01-01T21:03:45,2025-01-01T21:09:45,Completed,2,2520,Card,M005,1,620,Customer_83,76207974,M,67,2024-02-09,Occasional,7141,Ocean View - Galle,Galle,80,2019-05-10,Dish 5 (Dessert),Dessert,620,True,Mild
O1008,C083,OUT01,2025-01-01T20:35:33,2025-01-01T20:37:21,2025-01-01T20:38:45,2025-01-01T21:03:45,2025-01-01T21:09:45,Completed,2,2520,Card,M012,1,1760,Customer_83,76207974,M,67,2024-02-09,Occasional,7141,Ocean View - Galle,Galle,80,2019-05-10,Dish 12 (Beverage),Beverage,1760,True,Mild
O1009,C040,OUT01,2025-01-01T13:20:07,2025-01-01T13:22:44,2025-01-01T13:24:42,2025-01-01T13:37:42,2025-01-01T13:41:42,Completed,3,2758,Card,M020,1,810,Customer_40,74117625,M,54,2024-09-10,Occasional,12388,Ocean View - Galle,Galle,80,2019-05-10,Dish 20 (Fast Food),Fast Food,810,True,Medium
O1009,C040,OUT01,2025-01-01T13:20:07,2025-01-01T13:22:44,2025-01-01T13:24:42,2025-01-01T13:37:42,2025-01-01T13:41:42,Completed,3,2758,Card,M028,1,1120,Customer_40,74117625,M,54,2024-09-10,Occasional,12388,Ocean View - Galle,Galle,80,2019-05-10,Dish 28 (Beverage),Beverage,1120,True,Mild
O1009,C040,OUT01,2025-01-01T13:20:07,2025-01-01T13:22:44,2025-01-01T13:24:42,2025-01-01T13:37:42,2025-01-01T13:41:42,Completed,3,2758,Card,M015,1,650,Customer_40,74117625,M,54,2024-09-10,Occasional,12388,Ocean View - Galle,Galle,80,2019-05-10,Dish 15 (Dessert),Dessert,650,True,Medium
O1010,C067,OUT02,2025-01-01T18:38:18,2025-01-01T18:39:03,2025-01-01T18:39:57,2025-01-01T18:56:57,2025-01-01T19:00:57,Completed,3,2710,Card,M022,1,600,Customer_67,72164686,F,38,2023-02-13,Occasional,6754,City Square - Colombo,Colombo,120,2018-11-01,Dish 22 (Beverage),Beverage,600,True,Medium
O1010,C067,OUT02,2025-01-01T18:38:18,2025-01-01T18:39:03,2025-01-01T18:39:57,2025-01-01T18:56:57,2025-01-01T19:00:57,Completed,3,2710,Card,M019,1,1000,Customer_67,72164686,F,38,2023-02-13,Occasional,6754,City Square - Colombo,Colombo,120,2018-11-01,Dish 19 (Fast Food),Fast Food,1000,False,Mild
O1010,C067,OUT02,2025-01-01T18:38:18,2025-01-01T18:39:03,2025-01-01T18:39:57,2025-01-01T18:56:57,2025-01-01T19:00:57,Completed,3,2710,Card,M024,1,910,Customer_67,72164686,F,38,2023-02-13,Occasional,6754,City Square - Colombo,Colombo,120,2018-11-01,Dish 24 (Beverage),Beverage,910,True,Hot
O1011,C075,OUT02,2025-01-01T12:03:35,2025-01-01T12:05:09,2025-01-01T12:07:08,2025-01-01T12:19:08,2025-01-01T12:27:08,Completed,1,824,Cash,M023,1,810,Customer_75,76038571,Other,35,2024-05-18,Returning,4685,City Square - Colombo,Colombo,120,2018-11-01,Dish 23 (Beverage),Beverage,810,True,Hot
O1012,C082,OUT02,2025-01-01T19:11:03,2025-01-01T19:12:27,2025-01-01T19:13:58,2025-01-01T19:24:58,2025-01-01T19:26:58,Completed,2,3081,Cash,M010,1,1390,Customer_82,76623525,M,68,2023-06-12,Occasional,6444,City Square - Colombo,Colombo,120,2018-11-01,Dish 10 (Fast Food),Fast Food,1390,False,Medium
O1012,C082,OUT02,2025-01-01T19:11:03,2025-01-01T19:12:27,2025-01-01T19:13:58,2025-01-01T19:24:58,2025-01-01T19:26:58,Completed,2,3081,Cash,M026,1,1500,Customer_82,76623525,M,68,2023-06-12,Occasional,6444,City Square - Colombo,Colombo,120,2018-11-01,Dish 26 (Dessert),Dessert,1500,False,Medium
O1013,C047,OUT02,2025-01-01T13:51:36,2025-01-01T13:53:13,2025-01-01T13:53:53,2025-01-01T14:08:53,2025-01-01T14:10:53,Completed,2,1891,Card,M024,1,910,Customer_47,76855396,M,31,2022-09-29,Returning,4222,City Square - Colombo,Colombo,120,2018-11-01,Dish 24 (Beverage),Beverage,910,True,Hot
O1013,C047,OUT02,2025-01-01T13:51:36,2025-01-01T13:53:13,2025-01-01T13:53:53,2025-01-01T14:08:53,2025-01-01T14:10:53,Completed,2,1891,Card,M001,1,920,Customer_47,76855396,M,31,2022-09-29,Returning,4222,City Square - Colombo,Colombo,120,2018-11-01,Dish 1 (Main Course),Main Course,920,True,Hot
O1014,C097,OUT02,2025-01-01T22:33:24,2025-01-01T22:35:39,2025-01-01T22:37:05,2025-01-01T22:54:05,2025-01-01T23:04:05,Completed,2,1099,Card,M006,1,620,Customer_97,77975534,M,29,2022-12-05,Occasional,10953,City Square - Colombo,Colombo,120,2018-11-01,Dish 6 (Main Course),Main Course,620,True,Mild
O1014,C097,OUT02,2025-01-01T22:33:24,2025-01-01T22:35:39,2025-01-01T22:37:05,2025-01-01T22:54:05,2025-01-01T23:04:05,Completed,2,1099,Card,M007,1,480,Customer_97,77975534,M,29,2022-12-05,Occasional,10953,City Square - Colombo,Colombo,120,2018-11-01,Dish 7 (Starter),Starter,480,True,Hot
O1015,C024,OUT02,2025-01-01T21:06:48,2025-01-01T21:08:01,2025-01-01T21:09:51,2025-01-01T21:23:51,2025-01-01T21:28:51,Completed,1,1151,Cash,M028,1,1120,Customer_24,71527021,F,20,2022-08-23,Returning,2321,City Square - Colombo,Colombo,120,2018-11-01,Dish 28 (Beverage),Beverage,1120,True,Mild
O1016,C057,OUT02,2025-01-01T12:26:28,2025-01-01T12:29:20,2025-01-01T12:30:50,2025-01-01T12:47:50,2025-01-01T12:48:50,Completed,3,2474,Card,M027,1,680,Customer_57,73500715,Other,18,2024-06-23,Regular,14282,City Square - Colombo,Colombo,120,2018-11-01,Dish 27 (Starter),Starter,680,True,Hot
O1016,C057,OUT02,2025-01-01T12:26:28,2025-01-01T12:29:20,2025-01-01T12:30:50,2025-01-01T12:47:50,2025-01-01T12:48:50,Completed,3,2474,Card,M006,1,620,Customer_57,73500715,Other,18,2024-06-23,Regular,14282,City Square - Colombo,Colombo,120,2018-11-01,Dish 6 (Main Course),Main Course,620,True,Mild
O1016,C057,OUT02,2025-01-01T12:26:28,2025-01-01T12:29:20,2025-01-01T12:30:50,2025-01-01T12:47:50,2025-01-01T12:48:50,Completed,3,2474,Card,M029,1,1230,Customer_57,73500715,Other,18,2024-06-23,Regular,14282,City Square - Colombo,Colombo,120,2018-11-01,Dish 29 (Main Course),Main Course,1230,False,Medium
O1017,C091,OUT02,2025-01-01T13:59:16,2025-01-01T14:02:16,2025-01-01T14:04:01,2025-01-01T14:18:01,2025-01-01T14:25:01,Completed,1,1371,Cash,M010,1,1390,Customer_91,78159521,Other,44,2024-01-07,Regular,21726,City Square - Colombo,Colombo,120,2018-11-01,Dish 10 (Fast Food),Fast Food,1390,False,Medium
O1018,C027,OUT02,2025-01-01T13:04:03,2025-01-01T13:05:05,2025-01-01T13:06:14,2025-01-01T13:23:14,2025-01-01T13:31:14,Completed,2,2969,Card,M026,1,1500,Customer_27,72582524,M,58,2024-04-06,Occasional,3801,City Square - Colombo,Colombo,120,2018-11-01,Dish 26 (Dessert),Dessert,1500,False,Medium
O1018,C027,OUT02,2025-01-01T13:04:03,2025-01-01T13:05:05,2025-01-01T13:06:14,2025-01-01T13:23:14,2025-01-01T13:31:14,Completed,2,2969,Card,M013,1,1570,Customer_27,72582524,M,58,2024-04-06,Occasional,3801,City Square - Colombo,Colombo,120,2018-11-01,Dish 13 (Dessert),Dessert,1570,True,Medium
O1019,C031,OUT02,2025-01-01T18:34:31,2025-01-01T18:36:43,2025-01-01T18:37:23,2025-01-01T18:46:23,2025-01-01T18:53:23,Completed,1,459,Card,M011,1,430,Customer_31,78077999,M,33,2023-07-04,Occasional,5843,City Square - Colombo,Colombo,120,2018-11-01,Dish 11 (Beverage),Beverage,430,True,Mild
O1020,C091,OUT02,2025-01-01T12:48:43,2025-01-01T12:50:11,2025-01-01T12:51:54,2025-01-01T13:00:54,2025-01-01T13:03:54,Completed,4,4060,Card,M029,1,1230,Customer_91,78159521,Other,44,2024-01-07,Regular,21726,City Square - Colombo,Colombo,120,2018-11-01,Dish 29 (Main Course),Main Course,1230,False,Medium
O1020,C091,OUT02,2025-01-01T12:48:43,2025-01-01T12:50:11,2025-01-01T12:51:54,2025-01-01T13:00:54,2025-01-01T13:03:54,Completed,4,4060,Card,M017,1,830,Customer_91,78159521,Other,44,2024-01-07,Regular,21726,City Square - Colombo,Colombo,120,2018-11-01,Dish 17 (Starter),Starter,830,False,Hot
O1020,C091,OUT02,2025-01-01T12:48:43,2025-01-01T12:50:11,2025-01-01T12:51:54,2025-01-01T13:00:54,2025-01-01T13:03:54,Completed,4,4060,Card,M001,1,920,Customer_91,78159521,Other,44,2024-01-07,Regular,21726,City Square - Colombo,Colombo,120,2018-11-01,Dish 1 (Main Course),Main Course,920,True,Hot
O1020,C091,OUT02,2025-01-01T12:48:43,2025-01-01T12:50:11,2025-01-01T12:51:54,2025-01-01T13:00:54,2025-01-01T13:03:54,Completed,4,4060,Card,M009,1,1240,Customer_91,78159521,Other,44,2024-01-07,Regular,21726,City Square - Colombo,Colombo,120,2018-11-01,Dish 9 (Dessert),Dessert,1240,False,Mild
O1021,C081,OUT02,2025-01-01T20:40:52,2025-01-01T20:43:17,2025-01-01T20:43:58,2025-01-01T21:06:58,2025-01-01T21:12:58,Completed,1,1600,Card,M026,1,1500,Customer_81,73846949,Other,21,2022-08-07,Occasional,6462,City Square - Colombo,Colombo,120,2018-11-01,Dish 26 (Dessert),Dessert,1500,False,Medium
O1022,C081,OUT02,2025-01-01T20:44:31,2025-01-01T20:46:04,2025-01-01T20:47:58,2025-01-01T21:07:58,2025-01-01T21:16:58,Completed,1,732,Cash,M027,1,680,Customer_81,73846949,Other,21,2022-08-07,Occasional,6462,City Square - Colombo,Colombo,120,2018-11-01,Dish 27 (Starter),Starter,680,True,Hot
O1023,C029,OUT02,2025-01-01T20:55:32,2025-01-01T20:55:52,2025-01-01T20:57:46,2025-01-01T21:22:46,2025-01-01T21:30:46,Completed,2,1968,Cash,M010,1,1390,Customer_29,72651177,M,41,2023-11-01,Regular,8768,City Square - Colombo,Colombo,120,2018-11-01,Dish 10 (Fast Food),Fast Food,1390,False,Medium
O1023,C029,OUT02,2025-01-01T20:55:32,2025-01-01T20:55:52,2025-01-01T20:57:46,2025-01-01T21:22:46,2025-01-01T21:30:46,Completed,2,1968,Cash,M005,1,620,Customer_29,72651177,M,41,2023-11-01,Regular,8768,City Square - Colombo,Colombo,120,2018-11-01,Dish 5 (Dessert),Dessert,620,True,Mild
O1024,C023,OUT02,2025-01-01T20:28:48,2025-01-01T20:29:21,2025-01-01T20:30:17,2025-01-01T20:46:17,2025-01-01T20:55:17,Completed,3,1759,Card,M011,1,430,Customer_23,72191066,Other,56,2023-08-26,Occasional,7191,City Square - Colombo,Colombo,120,2018-11-01,Dish 11 (Beverage),Beverage,430,True,Mild
O1024,C023,OUT02,2025-01-01T20:28:48,2025-01-01T20:29:21,2025-01-01T20:30:17,2025-01-01T20:46:17,2025-01-01T20:55:17,Completed,3,1759,Card,M016,1,660,Customer_23,72191066,Other,56,2023-08-26,Occasional,7191,City Square - Colombo,Colombo,120,2018-11-01,Dish 16 (Main Course),Main Course,660,False,Hot
O1024,C023,OUT02,2025-01-01T20:28:48,2025-01-01T20:29:21,2025-01-01T20:30:17,2025-01-01T20:46:17,2025-01-01T20:55:17,Completed,3,1759,Card,M015,1,650,Customer_23,72191066,Other,56,2023-08-26,Occasional,7191,City Square - Colombo,Colombo,120,2018-11-01,Dish 15 (Dessert),Dessert,650,True,Medium
O1025,C071,OUT02,2025-01-01T12:40:38,2025-01-01T12:41:59,2025-01-01T12:43:59,2025-01-01T12:56:59,2025-01-01T13:01:59,Completed,1,1136,Card,M018,1,1130,Customer_71,79580255,M,40,2023-03-23,Occasional,5120,City Square - Colombo,Colombo,120,2018-11-01,Dish 18 (Fast Food),Fast Food,1130,True,Mild
O1026,C022,OUT02,2025-01-01T11:29:07,2025-01-01T11:30:06,2025-01-01T11:31:39,2025-01-01T11:48:39,2025-01-01T11:57:39,Completed,2,1879,Card,M016,1,660,Customer_22,71352896,Other,51,2022-08-19,Returning,2117,City Square - Colombo,Colombo,120,2018-11-01,Dish 16 (Main Course),Main Course,660,False,Hot
O1026,C022,OUT02,2025-01-01T11:29:07,2025-01-01T11:30:06,2025-01-01T11:31:39,2025-01-01T11:48:39,2025-01-01T11:57:39,Completed,2,1879,Card,M009,1,1240,Customer_22,71352896,Other,51,2022-08-19,Returning,2117,City Square - Colombo,Colombo,120,2018-11-01,Dish 9 (Dessert),Dessert,1240,False,Mild
O1027,C080,OUT02,2025-01-01T20:35:09,2025-01-01T20:37:07,2025-01-01T20:38:01,2025-01-01T21:02:01,2025-01-01T21:05:01,Completed,3,2116,Card,M017,1,830,Customer_80,78801207,F,44,2023-09-14,Occasional,5585,City Square - Colombo,Colombo,120,2018-11-01,Dish 17 (Starter),Starter,830,False,Hot
O1027,C080,OUT02,2025-01-01T20:35:09,2025-01-01T20:37:07,2025-01-01T20:38:01,2025-01-01T21:02:01,2025-01-01T21:05:01,Completed,3,2116,Card,M007,1,480,Customer_80,78801207,F,44,2023-09-14,Occasional,5585,City Square - Colombo,Colombo,120,2018-11-01,Dish 7 (Starter),Starter,480,True,Hot
O1027,C080,OUT02,2025-01-01T20:35:09,2025-01-01T20:37:07,2025-01-01T20:38:01,2025-01-01T21:02:01,2025-01-01T21:05:01,Completed,3,2116,Card,M016,1,660,Customer_80,78801207,F,44,2023-09-14,Occasional,5585,City Square - Colombo,Colombo,120,2018-11-01,Dish 16 (Main Course),Main Course,660,False,Hot
O1028,C073,OUT02,2025-01-01T19:52:00,2025-01-01T19:53:32,2025-01-01T19:54:40,2025-01-01T20:17:40,2025-01-01T20:20:40,Completed,2,2956,Card,M002,1,1730,Customer_73,74305700,F,43,2023-06-17,Regular,13344,City Square - Colombo,Colombo,120,2018-11-01,Dish 2 (Beverage),Beverage,1730,True,Mild
